Jkn;Kohanimi;Keel;Kohanime staatus;Kohanime olek;Nimeobjekti liik;Lisainfo;Maakond,omavalitsus,asustusüksus;X;Y;
1;Karla küla;eesti;ametlik põhinimi;kehtiv;küla;;Harju maakond, Rae vald, Karla küla;6581090.69;552298.73;
2;Karla küla;eesti;ametlik põhinimi;kehtiv;küla;;Harju maakond, Kose vald, Karla küla;6559518.09;564266.79;
3;Karl Ojassoo tänav;eesti;ametlik põhinimi;kehtiv;liikluspind;;Saare maakond, Saaremaa vald, Kuressaare linn;6458238.77;411188.95;
4;Karl August Hermanni tänav;eesti;ametlik põhinimi;kehtiv;liikluspind;;Tartu maakond, Tartu linn, Tartu linn;6474413.43;658307.26;
5;Karla-Hansoni tee;eesti;ametlik põhinimi;kehtiv;tee, ringtee ...;;Harju maakond, Kose vald, Karla küla;6558064.52;564175.28;
6;Karla-Pundi tee;eesti;ametlik põhinimi;kehtiv;tee, ringtee ...;;Harju maakond, Kose vald, Karla küla;6557350.3;564676.75;
7;Karla väikekoht;eesti;ametlik põhinimi;kehtiv;väikekoht;;Harju maakond, Kose vald, Karla küla;6559163.56;564357.66;
8;Karlsoni tee;eesti;ametlik põhinimi;kehtiv;tee, ringtee ...;;Ida-Viru maakond, Alutaguse vald, Roostoja küla;6547276.46;678533.09;
9;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Põlva maakond, Põlva vald, Leevijõe küla;6449465.67;673542.37;
10;Karli tee;eesti;ametlik põhinimi;kehtiv;liikluspind;;Harju maakond, Saku vald, Lokuti küla;6571919.41;542712.67;
11;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Jõgeva maakond, Mustvee vald, Lepiksaare küla;6538523.08;662701.64;
12;Karlasilm;eesti;ametlik põhinimi;kehtiv;väin, kurk;;Pärnu maakond, Lääneranna vald, Saulepi küla;6466790.5;487985.7;
13;Karl Ernst von Baeri tänav;eesti;ametlik põhinimi;kehtiv;liikluspind;;Tartu maakond, Tartu linn, Tartu linn;6474305.44;658665.48;
14;Karl August Hermanni tänav;eesti;ametlik põhinimi;kehtiv;liikluspind;;Jõgeva maakond, Põltsamaa vald, Põltsamaa linn;6502388.28;614787.84;
15;Karl August Hermanni tänav;eesti;ametlik põhinimi;kehtiv;liikluspind;;Harju maakond, Tallinn, Kesklinna linnaosa;6588279.3;543997.58;
16;Karl Lutsu tänav;eesti;ametlik põhinimi;kehtiv;liikluspind;;Ida-Viru maakond, Kohtla-Järve linn, Järve linnaosa;6588299.4;685145.91;
17;Karla tee;eesti;ametlik põhinimi;kehtiv;liikluspind;;Harju maakond, Kiili vald, Vaela küla;6577234.51;546552.28;
18;Karlepa tee;eesti;ametlik põhinimi;kehtiv;liikluspind;;Harju maakond, Saue vald, Koppelmaa küla;6569628.41;530526.54;
19;Karlova paadisadam;eesti;ametlik põhinimi;kehtiv;sadam, lauter, valgma, ...;;Tartu maakond, Tartu linn, Tartu linn;6473142.73;660586.61;
20;Karlsoni;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Ida-Viru maakond, Alutaguse vald, Roostoja küla;6547546.13;678375.11;
21;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Tapa vald, Kuru küla;6566451.12;608130.75;
22;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Võru maakond, Antsla vald, Uue-Antsla küla;6417443.49;650767.91;
23;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Järva maakond, Järva vald, Kalitsa küla;6537101.91;610604.81;
24;Karlsoni;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Ida-Viru maakond, Alutaguse vald, Sõrumäe küla;6563787.84;691413.48;
25;Karlepi;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Ida-Viru maakond, Alutaguse vald, Alliku küla;6553343.3;688835.5;
26;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Peipsiääre vald, Haavakivi küla;6509273.33;674645.59;
27;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Võru maakond, Rõuge vald, Märdi küla;6398665.19;673627.69;
28;Karl-Martini;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Väike-Maarja vald, Nõmmküla;6538094.06;624202.48;
29;Karlsruhe;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Võru maakond, Rõuge vald, Mõõlu küla;6398786.93;676852.43;
30;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Haljala vald, Aasu küla;6588252.65;632164.81;
31;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Jõgeva maakond, Jõgeva vald, Reastvere küla;6530072.18;647050.65;
32;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Kambja vald, Visnapuu küla;6455167.59;651572.94;
33;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne maakond, Haapsalu linn, Pusku küla;6528140.03;468713.06;
34;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Kambja vald, Sirvaku küla;6456549.78;662841.68;
35;Karlova;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Valga maakond, Valga vald, Kaagjärve küla;6404917.62;633115.62;
36;Karl-Eeriku;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Kambja vald, Pangodi küla;6453114.01;651866.22;
37;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Tartu linn, Rõhu küla;6469336.56;648694.08;
38;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Jõgeva maakond, Mustvee vald, Sälliksaare küla;6540771.59;664662.73;
39;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Põlva maakond, Põlva vald, Kosova küla;6456552.86;679421.97;
40;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Pärnu maakond, Põhja-Pärnumaa vald, Lüüste küla;6499432.24;567076.11;
41;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Hiiu maakond, Hiiumaa vald, Sarve küla;6523089.32;445730.23;
42;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Põlva maakond, Põlva vald, Adiste küla;6444021.98;685193.64;
43;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Tapa vald, Aavere küla;6551763.05;616904.47;
44;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Tapa vald, Läste küla;6570744.99;605067.31;
45;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Tartu linn, Tähtvere küla;6476292.82;657046.4;
46;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Põlva maakond, Põlva vald, Valgemetsa küla;6448778.83;674607.44;
47;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Peipsiääre vald, Kargaja küla;6486569.86;683434.35;
48;Karlsbergi;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Võru maakond, Võru vald, Mäekülä;6420409.49;670240.1;
49;Karlepi;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Ida-Viru maakond, Alutaguse vald, Kasevälja küla;6554866.82;691196.85;
